id del estudiante,Puntaje en matemáticas 2013,Puntaje en matemáticas 2012,Edad,Género,Educación de la madre,Hogar pobre
251,"426,8","414,7263",6,0,0,0
252,"653,3","651,3687",9,0,0,0
253,"819,2","814,0183",12,0,0,0
254,"642,2","634,1158",9,0,0,0
255,"541,6","535,9126",6,0,0,0
256,"735,3","714,1324",12,0,0,0
257,"567,7","545,4123",6,0,0,0
258,"437,4","430,5335",6,0,0,0
259,"561,4","536,4371",6,0,0,0
260,"686,2","670,8625",10,0,0,0
261,"768,1","759,662",12,0,0,0
262,"474,8","461,9771",6,0,0,0
263,"733,6","723,7834",12,0,0,0
264,"677,7","679,1461",10,0,0,0
265,"687,7","672,1127",10,0,0,0
266,"504,1","477,7237",6,0,0,0
267,"754,9","755,8545",12,0,0,0
268,"414,7","391,5813",6,0,0,0
269,"787,9","772,6898",12,0,0,0
270,"555,2","553,5123",6,0,0,0
271,"522,1","495,3956",6,0,0,0
272,"661,4","655,9153",9,0,0,0
273,"604,9","579,1775",8,0,0,0
274,"658,9","652,7426",9,0,0,0
275,"725,8","725,7015",11,0,0,0
276,"767,2","764,89",12,0,0,0
277,"628,7","613,9227",8,0,0,0
278,"551,3","539,8953",6,0,0,0
279,"745,7","730,8086",12,0,0,0
280,"542,7","518,0261",6,0,0,0
281,"562,6","536,3178",6,0,0,0
282,"737,7","732,2351",12,0,0,0
283,599,"586,3564",7,0,0,0
284,"795,7","776,6031",12,0,0,0
285,412,"393,2347",6,0,0,0
286,442,"428,8227",6,0,0,0
287,"581,6","579,7946",7,0,0,0
288,"541,8","530,6852",6,0,0,0
289,"518,7","511,993",6,0,0,0
290,"532,6","518,7672",6,0,0,0
291,"563,6","550,3575",6,0,0,0
292,"591,5","578,7036",7,0,0,0
293,"596,1","585,9898",7,0,0,0
294,"525,3","509,0282",6,0,0,0
295,"680,2","661,0245",10,1,0,0
296,"498,4","484,358",6,0,0,0
297,"583,3","581,491",7,1,0,0
298,"523,1","496,3867",6,1,0,0
299,"470,6","458,3383",6,0,0,0
300,454,"443,6733",6,0,0,0
301,"634,3","632,6501",9,0,0,0
302,474,"463,9376",6,0,0,0
303,"720,1","720,0069",11,1,0,0
304,"660,8","652,3269",9,1,0,0
305,"659,3","643,1529",9,0,0,0
306,"725,5","720,8447",11,1,0,0
307,"576,3","570,2277",7,0,0,0
308,"427,1","401,7795",6,0,0,0
309,"441,6","429,4776",6,0,0,0
310,"596,6","571,1309",7,0,0,0
311,"619,1","610,2542",8,0,0,0
312,"577,9","554,1445",7,1,0,1
313,"646,8","637,6278",9,1,0,1
314,"672,6","666,4886",10,0,0,1
315,"590,7","584,0742",7,1,0,1
316,"601,8","583,5659",8,0,0,0
317,"716,5","699,9205",11,1,0,0
318,"622,3","611,2349",8,1,0,0
319,"593,7","575,2039",7,0,0,0
320,"799,9","796,4028",12,1,0,0
321,"644,2","632,9936",9,1,0,1
322,"361,9","347,6866",6,0,0,0
323,"514,8","492,9229",6,0,0,1
324,"595,9","581,5076",7,1,0,1
325,"708,3","703,1559",11,0,0,0
326,"704,1","684,9713",11,0,0,0
327,"580,4","575,6683",7,0,0,1
328,"789,7","778,8771",12,0,0,0
329,"557,6","535,1589",6,1,0,0
330,634,"626,5205",9,0,0,0
331,"686,6","666,8084",10,0,0,1
332,"613,9","605,2765",8,1,0,1
333,527,"504,0658",6,0,0,0
334,"422,7","405,9863",6,0,0,0
335,"522,9","516,4189",6,0,0,0
336,"541,9","514,7435",6,0,0,0
337,"604,3","596,3789",8,1,0,0
338,"608,6","601,9914",8,0,0,1
339,"687,2","673,0858",10,0,0,1
340,"671,4","668,9984",10,1,0,0
341,"686,1","673,5208",10,0,0,1
342,"708,1","697,8049",11,0,0,1
343,"811,2","807,3029",12,0,0,0
344,"583,9","560,627",7,1,0,1
345,"656,6","650,7676",9,0,0,0
346,"645,2","643,5458",9,0,0,1
347,637,"619,483",9,0,0,1
348,"507,9","486,3625",6,0,0,0
349,"674,1","651,1306",10,0,1,1
350,"445,8","437,9203",6,0,0,1
351,"402,5","388,8581",6,1,0,1
352,598,"591,7556",7,0,0,0
353,"431,3","418,1813",6,0,0,1
354,"563,4","556,9258",6,0,1,0
355,"658,3","652,3391",9,0,0,0
356,"712,3","712,4797",11,0,0,1
357,"687,4","684,8557",10,1,1,1
358,"514,6","503,7047",6,0,1,1
359,"441,4","429,6597",6,0,0,1
360,515,"507,771",6,0,0,0
361,"669,7","671,4816",10,0,0,0
362,"456,3","427,2571",6,1,0,1
363,"417,5","393,9865",6,0,0,1
364,"597,5","586,724",7,0,0,0
365,"704,9","691,0547",11,0,0,1
366,"630,9","620,0735",8,0,0,0
367,"480,6","472,9445",6,0,1,1
368,"687,3","674,8018",10,1,0,0
369,807,"796,912",12,0,0,0
370,"402,4","391,4519",6,1,1,0
371,"550,1","530,8553",6,0,0,1
372,498,"474,1281",6,0,0,1
