id del estudiante,Puntaje en matemáticas 2013,Puntaje en matemáticas 2012,edad,género,Educación de la madre,Hogar pobre,Ingreso,Ventana
1,"456,9","426,9",6,0,0,1,"20,1",1
2,674,644,8,0,0,1,"26,4",1
3,833,803,10,1,0,1,30,1
4,"663,4","633,4",8,0,0,1,"26,1",1
5,567,537,7,0,1,1,23,1
6,"752,6","722,6",9,0,0,1,"28,9",1
7,"591,9","561,9",7,1,0,1,"23,8",1
8,"467,1","437,1",6,0,0,1,"20,1",1
9,"585,9","555,9",7,0,0,1,"23,6",1
10,"705,6","675,6",8,0,0,1,"27,4",1
11,"784,1","754,1",9,1,0,1,"29,9",1
12,"502,9","472,9",6,1,1,1,21,1
13,"750,9","720,9",9,0,0,1,"28,8",1
14,"697,4","667,4",8,1,1,1,"27,1",1
15,707,677,8,0,1,1,"27,4",1
16,531,501,7,1,0,1,"21,9",1
17,"771,4","741,4",9,0,1,1,"29,5",1
18,"445,3","415,3",6,0,0,1,"20,1",1
19,"803,1","773,1",9,1,0,1,30,1
20,580,550,7,0,0,1,"23,4",1
21,"548,2","518,2",7,0,0,1,"22,4",1
22,"681,8","651,8",8,0,0,1,"26,6",1
23,"627,6","597,6",7,0,0,1,"24,9",1
24,"679,3","649,3",8,1,0,1,"26,6",1
25,"743,5","713,5",9,0,0,1,"28,6",1
26,"783,2","753,2",9,0,0,1,"29,8",1
27,"650,5","620,5",8,1,1,1,"25,6",1
28,"576,3","546,3",7,0,0,1,"23,3",1
29,"762,6","732,6",9,0,0,1,"29,2",1
30,568,538,7,0,0,1,23,1
31,587,557,7,1,1,1,"23,6",1
32,755,725,9,0,0,1,29,1
33,"621,9","591,9",7,1,0,1,"24,7",1
34,"810,5","780,5",9,0,0,1,30,1
35,"442,7","412,7",6,0,0,1,"20,1",1
36,"471,5","441,5",6,0,1,1,"20,1",1
37,"605,3","575,3",7,0,0,1,"24,2",1
38,"567,2","537,2",7,0,0,1,23,1
39,545,515,7,1,0,1,"22,3",1
40,"558,3","528,3",7,0,0,1,"22,7",1
41,"588,1","558,1",7,0,0,1,"23,7",1
42,"614,7","584,7",7,0,0,1,"24,5",1
43,"619,2","589,2",7,1,0,1,"24,7",1
44,"551,3","521,3",7,0,0,1,"22,5",1
45,"699,8","669,8",8,1,0,1,"27,2",1
46,"525,5","495,5",6,1,0,1,"21,7",1
47,607,577,7,0,0,1,"24,3",1
48,"549,2","519,2",7,0,1,1,"22,4",1
49,"498,9","468,9",6,1,0,1,"20,9",1
50,483,453,6,0,0,1,"20,4",1
51,"655,8","625,8",8,1,0,1,"25,8",1
52,"502,2","472,2",6,0,0,1,21,1
53,738,708,9,1,1,1,"28,4",1
54,"681,2","651,2",8,0,0,1,"26,6",1
55,"679,7","649,7",8,0,0,1,"26,6",1
56,"743,3","713,3",9,1,0,1,"28,6",1
57,"600,2","570,2",7,0,0,1,"24,1",1
58,"457,2","427,2",6,0,0,1,"20,1",1
59,"471,1","441,1",6,1,0,1,"20,1",1
60,"619,7","589,7",7,0,1,1,"24,7",1
61,"641,2","611,2",8,0,0,1,"25,4",1
62,"601,7","571,7",7,0,0,1,"24,1",1
63,"667,7","637,7",8,0,1,1,"26,2",1
64,"692,6","662,6",8,0,0,1,27,1
65,614,584,7,1,1,1,"24,5",1
66,"624,6","594,6",7,0,0,1,"24,8",1
67,"734,6","704,6",9,0,0,1,"28,3",1
68,"644,3","614,3",8,0,0,1,"25,5",1
69,"616,8","586,8",7,0,0,1,"24,6",1
70,"814,5","784,5",9,0,0,1,30,1
71,"665,3","635,3",8,0,1,1,"26,1",1
72,"394,7","364,7",6,1,0,1,"20,1",1
73,"541,2","511,2",7,0,0,1,"22,2",1
74,619,589,7,0,0,1,"24,7",1
75,"726,7","696,7",8,1,0,1,"28,1",1
76,"722,7","692,7",8,0,1,1,"27,9",1
77,"604,1","574,1",7,0,0,1,"24,2",1
78,"804,8","774,8",9,0,0,1,30,1
79,"582,2","552,2",7,1,0,1,"23,5",1
80,"655,5","625,5",8,0,1,1,"25,8",1
81,"705,9","675,9",8,0,1,1,"27,4",1
82,"636,2","606,2",8,1,0,1,"25,2",1
83,553,523,7,0,0,1,"22,6",1
84,"452,9","422,9",6,0,0,1,"20,1",1
85,549,519,7,1,0,1,"22,4",1
86,"567,2","537,2",7,0,0,1,23,1
87,627,597,7,0,0,1,"24,9",1
88,"631,2","601,2",8,0,0,1,25,1
89,"706,5","676,5",8,1,0,1,"27,4",1
