id del estudiante,Puntaje en matemáticas,Edad,Género,Educación de la madre,Hogar pobre
1,"425,7097",5,0,0,0
2,"655,1362",9,0,0,0
3,"813,8574",10,0,0,0
4,"642,5794",9,0,0,0
5,"547,2859",6,0,0,1
6,"721,6353",10,0,0,0
7,"577,7019",6,0,0,0
8,"448,7309",5,0,0,0
9,"543,3905",6,0,0,1
10,"661,1741",10,0,0,0
11,"735,9871",10,0,0,0
12,"476,577",5,0,0,0
13,"727,7623",10,0,0,0
14,"667,891",10,0,0,1
15,"666,5111",10,0,0,0
16,"483,4218",5,0,0,0
17,"749,1713",10,0,0,0
18,"413,8966",5,0,0,1
19,"774,5868",10,0,0,0
20,"533,5034",6,0,0,0
21,"509,1998",5,0,0,1
22,"630,3571",9,0,0,0
23,"617,079",8,0,0,0
24,"649,197",9,0,0,1
25,"720,9971",11,0,0,0
26,"763,5594",10,0,0,0
27,"620,4326",8,0,0,0
28,"552,4303",6,0,0,1
29,"734,1528",10,0,0,0
30,"524,3427",6,0,0,1
31,"552,1026",6,0,0,0
32,"706,902",10,0,0,1
33,"595,3213",7,0,0,0
34,"771,925",10,0,0,1
35,"388,6943",5,0,0,0
36,"441,3972",5,0,0,1
37,"564,2765",7,0,0,0
38,"533,5896",6,0,0,0
39,"550,4714",5,0,0,1
40,"509,2599",5,0,0,0
41,"571,2358",6,0,0,0
42,"606,535",7,0,0,1
43,"608,2905",7,0,0,0
44,"539,8014",5,0,0,0
45,"639,3362",10,0,0,0
46,"484,6702",5,0,0,1
47,"591,4481",7,0,0,0
48,"509,3047",5,0,0,0
49,"473,9564",5,0,0,0
50,"431,6339",5,0,0,1
51,"633,8945",9,0,0,0
52,"461,606",5,0,0,0
53,"688,1937",11,0,0,0
54,"652,3753",9,0,0,1
55,"647,9149",9,0,1,1
56,"731,2757",11,0,0,0
57,"554,424",7,0,0,1
58,"384,523",5,0,0,0
59,"418,3287",5,0,0,1
60,"570,6905",7,0,0,1
61,"608,3603",8,0,0,0
62,"570,2669",7,0,0,1
63,"625,697",9,0,0,1
64,"644,8737",10,0,0,0
65,"563,2902",7,0,0,1
66,"552,5547",8,0,0,1
67,"695,6776",11,1,0,0
68,"630,8806",8,0,0,1
69,"599,1514",7,1,1,0
70,"780,1752",10,0,0,1
71,"637,8065",9,1,0,1
72,"339,8351",5,1,0,1
73,"501,5478",5,0,0,0
74,"572,565",7,0,0,1
75,"710,1987",11,0,0,0
76,"705,6475",11,0,0,1
77,"551,4821",7,0,1,0
78,"762,3501",10,0,0,0
79,"557,4907",6,1,0,0
80,"624,1085",9,0,0,1
81,"682,3436",10,1,0,0
82,"615,1431",8,1,0,0
83,"494,8577",5,0,0,0
84,"416,031",5,0,0,0
85,"507,1318",5,0,0,0
86,"524,8559",6,1,0,1
87,"570,015",8,0,0,0
88,"603,3225",8,0,0,0
89,"695,5672",10,0,0,1
90,"668,254",10,0,1,0
91,"686,9783",10,0,0,0
92,"718,8353",11,0,0,0
93,"811,6118",10,0,1,1
94,"567,3464",7,1,0,1
95,"646,6884",9,0,1,0
96,"593,4724",9,0,0,0
97,"615,5703",9,0,0,0
98,"502,2644",5,0,0,1
99,"654,7275",10,1,0,0
100,"445,4688",5,0,0,1
101,"415,115",5,1,0,0
102,"583,6609",7,0,0,0
103,"428,1817",5,0,0,1
